,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
30,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,90,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,160657,4
31,Arnold Onea,YEAR 2021,1tSKyM7Sl77WBCp0Ha9mUi,0,0.659,0.839,7,-7.505,1,0.0372,0.000337,0.126,0.107,0.0845,124.015,287692,4
32,Yeat,Monëy so big,7BbaIYAdi3pg4MGl6PHwPv,88,0.693,0.575,2,-7.633,1,0.0906,0.121,0.0,0.104,0.353,138.016,160052,4
33,Ennio Morricone,"Una strana coppia - From ""Il vizietto"" / Remastered 2021",0UfjNYI7Jdkp2IkbzBik9n,15,0.507,0.71,5,-10.852,0,0.0326,0.028,0.00953,0.297,0.939,90.509,150730,4
34,SZA,I Hate U,5dXWFMwD7I7zXsInONVl0H,90,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703,174000,5
35,Luiz Bonfá,"Party Borghese - From ""Le ore dell'amore"" / Remastered 2021",6OGe1IJ4ymZvvcQjZZwQPy,17,0.684,0.281,8,-16.146,1,0.0555,0.819,0.679,0.107,0.529,63.621,123370,4
36,Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,96,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,207853,4
37,Luiz Bonfá,"Sacrofano Bossa Nova - From ""Le ore dell'amore"" / Remastered 2021",4X3ZyWhOQRhCH6QJ3VqSzs,19,0.759,0.52,9,-15.207,1,0.251,0.777,0.937,0.197,0.376,149.097,155980,4
38,Post Malone,One Right Now (with The Weeknd),00Blm7zeNqgYLPtW6zg8cj,92,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,193507,4
39,Luiz Bonfá,"Le ore dell'amore (Titoli) - From ""Le ore dell'amore"" / Remastered 2021",09L1EGu3g4H86h1AlCxDWK,16,0.568,0.119,2,-16.399,0,0.0505,0.978,0.783,0.108,0.221,138.049,143170,4
40,Elton John,Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,96,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735,4
41,Elvis Costello & The Attractions,This Year's Girl - 2021 Remaster,1fdZTOJXydtRzCwBbHlJco,41,0.607,0.652,9,-6.043,1,0.0553,0.0552,0.0,0.0754,0.917,133.388,200853,4
42,The Rare Occasions,Notion,0sTlGEld0h8kIPZaKDYUf4,92,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,195121,4
43,Elvis Costello & The Attractions,(I Don't Want To Go To) Chelsea - 2021 Remaster,7uYyLVNjKY49L8o3AouXZd,46,0.515,0.832,11,-5.643,0,0.0398,0.0664,0.000486,0.055,0.952,166.728,190307,4
44,Olivia Rodrigo,traitor,5CZ40GBx1sQ9agT82CLQCT,94,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4
45,Fred again..,Kahan (Last Year),3IGsYYUDb4PrfrsP5tmjHd,48,0.441,0.428,9,-10.694,1,0.0609,0.856,0.000144,0.112,0.15,106.318,216000,4
46,Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,92,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3
47,New West,Years Ago,6NdyWIS7wxMTombWPpzjqf,40,0.531,0.474,1,-6.664,1,0.0251,0.55,0.0,0.0487,0.355,84.398,194911,4
48,Diane Guerrero,What Else Can I Do?,3XoYqtiWHhsk59frZupImG,88,0.718,0.709,4,-5.568,1,0.039,0.258,0.0,0.101,0.54,119.974,179427,4
49,Piero Piccioni,"Autoradio - From ""Una vita violenta"" / Remastered 2021",3rx7cyth6rl8fI0keopVSB,4,0.614,0.536,5,-11.237,1,0.0454,0.493,4.46e-05,0.0963,0.774,131.94,123790,4
50,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,87,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4
51,France Gall,Laisse tomber les filles,0mU8byD07n6FLEOqxRJcz1,40,0.758,0.737,2,-8.83,1,0.0314,0.598,0.0,0.359,0.974,132.706,133520,4
52,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,96,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,230747,4
53,Piero Piccioni,"Easy Calypso - From ""Una vita violenta"" / Remastered 2021",3Ev4k91dCUtY3oz08oghkc,6,0.519,0.526,5,-10.728,1,0.105,0.786,0.247,0.105,0.963,183.13,102040,4
54,Justin Bieber,Ghost,6I3mqTwhRpn34SLVafSH7G,94,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190,4
55,Piero Piccioni,"Jazz Theme Song - From ""Una vita violenta"" / Remastered 2021",2zpODUVjxuvi8lcOn6EEU1,4,0.277,0.119,11,-17.458,1,0.0314,0.957,0.876,0.105,0.101,98.851,115940,4
56,Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,91,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4
57,Piero Piccioni,"Theme Song #2 - From ""Una vita violenta"" / Remastered 2021",41En1WH5g0qxLW9FIhozgV,4,0.132,0.268,4,-15.076,1,0.0318,0.94,0.961,0.161,0.0383,80.592,146530,4
58,Drake,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,88,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,257605,4
59,Piero Piccioni,"Vita violenta #2 - From ""Una vita violenta"" / Remastered 2021",6RkwG3qwLarKDVQZLixAFM,4,0.488,0.44,3,-13.323,0,0.036,0.775,5.87e-06,0.0557,0.11,129.29,109140,4
60,Adele,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,95,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,224695,4
61,Piero Piccioni,"Serenata Cha Cha Cha - From ""Una vita violenta"" / Remastered 2021",7bhfCayBA2JonJ7E61Iitj,10,0.645,0.541,5,-11.078,1,0.166,0.64,0.00187,0.152,0.848,146.502,164370,4
62,Lil Durk,Broadway Girls (feat. Morgan Wallen),3DZ8dbKg4OTSSqGARvecYd,84,0.659,0.745,10,-3.599,1,0.0347,0.0417,0.0,0.296,0.54,74.967,185600,4
63,Piero Piccioni,"Una vita violenta (Titoli) - From ""Una vita violenta"" / Remastered 2021",7vqv5sGtjXTaUxarVbuyXk,3,0.2,0.0736,2,-17.417,0,0.0406,0.799,0.902,0.107,0.063,133.997,141490,4
64,Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,91,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,215507,4
65,Piero Piccioni,"La notte brava (Atmosfera Romantica) - From ""La notte brava"" / Remastered 2021",6uQQ6xAmfuH8GSgA3QYrd8,4,0.156,0.105,7,-22.026,1,0.046,0.961,0.942,0.111,0.344,165.792,76100,4
66,Doja Cat,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,89,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293,4
67,Elvis Costello & The Attractions,No Action - 2021 Remaster,2GFakdGflCFgwFrJfZkvzK,38,0.342,0.907,4,-4.44,1,0.0672,0.0265,2.36e-05,0.206,0.624,157.509,121093,3
68,Latto,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,85,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,173182,4
69,Elvis Costello & The Attractions,Lipstick Vogue - 2021 Remaster,2PiNhvEBruOkFZ4g4IwtXo,37,0.328,0.885,11,-7.058,0,0.0618,0.00558,0.00884,0.153,0.504,149.153,213413,4
70,Bad Bunny,Yonaguni,2JPLbjOn0wPCngEot2STUS,95,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710,4
71,Saliva,After Me - 2021 Version,5BJs3aDrKYBRkzrhaVxf89,38,0.462,0.855,1,-4.336,0,0.0428,8.06e-06,0.000346,0.0745,0.516,89.996,234288,4
72,Doja Cat,You Right,0k4d5YPDr1r7FX77VdqWez,90,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,186173,4
73,Write Out Loud,Year In Review,1d46bi2hAM5ybzbh1dThmC,25,0.659,0.438,1,-8.333,0,0.0636,0.22,0.0,0.157,0.331,84.939,200179,4
74,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,93,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013,4
75,Incognito,You Are In My System,2kSStoNv9O3SLvOXebvuVt,43,0.735,0.904,5,-6.25,0,0.0497,0.0183,0.00014,0.0579,0.687,104.998,343600,4
76,Stephanie Beatriz,Waiting On A Miracle,3oRW9ZGPRbLRMneQ5lwflt,86,0.48,0.554,1,-8.145,0,0.069,0.171,0.0,0.131,0.267,190.066,161840,3
77,Dept,Next Year (feat. Will Jay),6ZAT4DKNdV9ohX5ypsEhSY,41,0.646,0.455,4,-6.546,0,0.0489,0.501,0.0,0.0774,0.393,168.008,173293,4
78,Cochise,Tell Em,7nc7mlSdWYeFom84zZ8Wr8,87,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,180380,4
79,Ferry Corsten,Bloodstream (Mixed),5K3rRAywkyxNeFHgrqPoZ1,45,0.606,0.879,9,-8.284,0,0.0509,0.000312,0.482,0.268,0.411,123.985,79560,3
80,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,95,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301,4
81,Super8 & Tab,Asylum (Mixed),62EPXafHGwgJ9ImPWrDiD1,45,0.596,0.929,0,-7.04,1,0.0362,2.84e-06,0.242,0.453,0.543,128.009,60035,4
82,Morgan Wallen,Wasted On You,3cBsEDNhFI9E82vPj3kvi3,83,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,3
83,Cosmic Gate,Blame (Mixed),4aQhVBbFWaI5GWqieNtvkU,45,0.551,0.909,1,-9.174,1,0.0397,0.00652,0.9,0.583,0.289,126.001,60947,4
84,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,89,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,291175,4
85,Elvis Costello & The Attractions,Lip Service - 2021 Remaster,23acMIboTpqnM5kueS7GV8,33,0.538,0.916,4,-4.906,1,0.0318,0.00391,0.00118,0.237,0.892,150.553,159213,4
86,Jordan Davis,Buy Dirt,69AIpwGNLxr4qS1X5ynx60,84,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,167480,4
87,015B,불확정성의 원리,43DzoI3qDPwwJBYG21Ij3G,40,0.647,0.639,2,-4.28,0,0.0471,0.0426,0.000166,0.0738,0.952,150.002,169312,4
88,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,90,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4
89,Cosmic Gate,Feel It (Mixed),5fQa90l4pXmnCqBOfTlO7k,45,0.447,0.949,7,-6.466,0,0.0424,1.55e-05,0.978,0.29,0.562,127.944,73840,4
90,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,93,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014,4
91,Armin van Buuren,A State Of Trance Year Mix 2021 (Mixed) - Intro - Learn To Dance Again,57NBYe5qZcBS9h3wYj98hj,39,0.547,0.472,4,-10.267,0,0.218,0.449,1.42e-06,0.372,0.0492,121.873,123640,3
92,Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,94,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
93,Elvis Costello & The Attractions,Little Triggers - 2021 Remaster,2N8YyefuTvFIbgCiCYoXVU,33,0.474,0.518,5,-8.14,1,0.0513,0.257,1.97e-05,0.0743,0.228,156.738,163640,3
94,Tiësto,The Motto,18asYwWugKjjsihZ0YvRxO,95,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4
95,Elvis Costello & The Attractions,You Belong To Me - 2021 Remaster,7LjcmjjxyEumIx8AOBVUij,33,0.408,0.872,7,-6.09,1,0.0522,0.0383,5.14e-05,0.0515,0.728,172.084,143120,4
96,Muni Long,Hrs and Hrs,3xRH6FPVtheDyNla3T1FE7,88,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.661,139.885,204317,3
97,DONGKIZ,2021 (Memories),0lPZVtjG2MPUwre5rpPPBF,40,0.744,0.402,5,-8.323,1,0.08,0.304,0.0,0.35,0.818,80.034,144000,4
98,BoyWithUke,Toxic,2gQPv5jvVPqU2a9HhMNO1v,93,0.594,0.612,8,-6.627,0,0.363,0.835,0.0,0.461,0.687,179.629,168020,4
99,Kryder,Rapture (Mixed),3f5TV9HVfgxN46T83VdGLV,44,0.543,0.95,11,-6.261,0,0.0478,0.000117,0.602,0.337,0.558,123.933,61920,4
100,Kanye West,Praise God,0WSEq9Ko4kFPt8yo3ICd6T,89,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,226653,4
101,Alesso,Leave A Little Love (Mixed) - Club Mix,0oGKDmrn3HQ4ih50iWD7sl,44,0.497,0.919,5,-7.848,0,0.0463,0.000132,0.000238,0.345,0.461,129.495,88813,3
102,Doja Cat,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,87,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,174253,4
103,Elvis Costello & The Attractions,Living In Paradise - 2021 Remaster,3EWaYA9cYxeUHMaDMWqi0K,31,0.643,0.714,2,-6.128,1,0.0618,0.318,6.56e-06,0.299,0.962,130.643,227080,4
104,Morgan Wallen,Sand In My Boots,0uRrG2jRR5tuifsYIJHEao,82,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,202133,4
105,Elvis Costello & The Attractions,Hand In Hand - 2021 Remaster,0U9ZdBYiBK6pstkX5e70Yj,31,0.5,0.681,2,-7.053,1,0.0478,0.233,0.0,0.0623,0.511,140.564,156653,4
106,Olivia Rodrigo,favorite crime,5JCoSi02qi3jJeHdZXMmR8,89,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,152667,4
107,Saliva,Spyhunter - 2021 Version,646K2dKvCr8Nqy3XaSRHHM,30,0.423,0.94,5,-4.274,0,0.0605,0.000118,0.000375,0.322,0.694,179.979,262152,4
108,JVKE,this is what falling in love feels like,4UG2Fm0E98LhE2dlNxiAXx,89,0.424,0.438,11,-5.53,1,0.0553,0.617,0.0,0.0837,0.325,128.983,120308,5
109,York,Golden Hour (Mixed),6tRvdhn8a8WWBVKMRkXkXv,43,0.461,0.906,0,-7.462,1,0.0327,0.00659,0.666,0.432,0.655,127.179,53008,4
110,Rod Wave,By Your Side,2AaJeBEq3WLcfFW1y8svDf,82,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,194051,4
111,Kyau & Albert,Spüren (Mixed) - Club Mix,1oUSNYyiWThc1hnN9twv6B,43,0.607,0.872,1,-7.448,1,0.0382,0.00563,0.396,0.279,0.404,127.993,90000,4
112,Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,84,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14,252070,4
113,Dimitri Vegas,Pull Me Closer (Mixed) - Armin van Buuren Remix,4P77jSLoRzmZfgULcVLc09,43,0.447,0.908,11,-7.588,0,0.0456,7.11e-06,0.901,0.15,0.385,123.995,61947,4
114,Giveon,For Tonight,61Emqg95O9zo1GNOcyxq4Y,86,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867,193822,4
115,Armin van Buuren,Sirius (Mixed),4KqgEV5NI6Kiw8IYIUI9cW,43,0.216,0.982,7,-8.692,1,0.0536,0.0125,0.788,0.29,0.334,121.18,94213,4
116,Adele,Oh My God,3Kkjo3cT83cw09VJyrLNwX,92,0.534,0.725,1,-3.906,1,0.046,0.091,0.0,0.0264,0.55,88.098,225149,4
117,Ilan Bluestone,Stardust & Madness (Mixed),7eMLjJqzsgH2z60PvGtJbY,42,0.606,0.864,2,-7.32,0,0.0346,0.000186,0.866,0.182,0.465,128.016,59967,4
118,Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,87,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,123987,4
119,Cosmic Gate,Nothing To Hide (Mixed),6bMQcLhzqjLoWAKEeGSwF7,43,0.526,0.875,0,-7.576,1,0.0685,0.0002,0.942,0.161,0.136,124.036,59800,4
120,Sebastian Yatra,Dos Oruguitas,5rohUzwEoRsUvAA1Bf3DLo,85,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,0.465,93.788,214613,4
121,Armin van Buuren,Jonson's Play (Mixed),368O0lgEuKfKpuAV5IkKpw,42,0.525,0.913,0,-7.008,1,0.0347,0.00341,0.0244,0.527,0.701,128.013,44996,4
122,ERNEST,Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,81,0.527,0.461,7,-5.908,1,0.0269,0.118,0.0,0.0831,0.227,128.153,214405,3
123,Above & Beyond,Almost Home (Mixed) - Above & Beyond Club Mix,1F1s5kY1q4HYDb3wXlRRq6,42,0.52,0.892,9,-6.727,0,0.0324,1.24e-06,0.976,0.283,0.78,128.013,44965,4
124,Doja Cat,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,89,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4
125,Armin van Buuren,Hold On (Mixed) - Club Mix,49bB6BilfuQycwRTt8faR3,42,0.589,0.905,8,-7.591,1,0.0324,0.00184,0.956,0.662,0.154,127.995,91173,4
126,Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,89,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,4
127,AVIRA,Ocean (Mixed),5LR1lsoTR1rKX1C1mvYlPL,42,0.515,0.933,0,-8.175,1,0.0455,0.000611,6.29e-06,0.751,0.592,127.974,45002,4
128,ACRAZE,Do It To It,20on25jryn53hWghthWWW3,95,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4
129,Tinlicker,Children (Mixed),2jIyY91zgWZGu0Fqhp0PSr,42,0.644,0.938,6,-7.312,1,0.0362,6.23e-05,0.785,0.0993,0.272,126.015,76213,4
130,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,91,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,198082,4
131,Scorz,Poison (Mixed) - Club Mix,6iLbE3BU0lwb8oUtzxpHY3,42,0.607,0.85,1,-7.874,1,0.0579,0.00026,0.0255,0.513,0.506,126.058,60160,4
132,24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,90,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,140533,4
133,Sian Evans,Hide U (Mixed) - Tinlicker Remix,7jjWMFsG6OUmcSyykcvLBV,42,0.472,0.927,10,-8.033,0,0.0454,2.43e-05,0.934,0.132,0.377,126.484,91112,4
134,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,83,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,121573,4
135,Binary Finary,1998 (Mixed) - Jose De Mara Remix,1rF2fMWEJcLIFD63KUrjfl,42,0.471,0.952,1,-7.095,1,0.0438,5.77e-05,0.972,0.375,0.403,127.005,60488,4
136,Armin van Buuren,Divino (Mixed),5on6OgMhzztqxOku6EXOfW,42,0.419,0.938,7,-7.801,0,0.0478,6.25e-05,0.0013,0.326,0.372,128.029,59560,4
137,Drake,Girls Want Girls (with Lil Baby),37Nqx7iavZpotJSDXZWbJ3,86,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,221980,4
138,MaRLo,This Way (Mixed),5VKciNViGkGbbxE1gPAtzx,41,0.686,0.815,3,-6.477,0,0.0316,4.47e-05,0.744,0.321,0.42,131.96,83627,4
139,Baby Keem,trademark usa,15hJmqqEtASVXl6sM7i4UF,82,0.615,0.6,10,-5.62,1,0.27,0.107,1.61e-06,0.283,0.0661,130.027,270671,4
140,AVIRA,Gold (Mixed),1AylRHyRUkTQ2qIVe2eaSw,41,0.553,0.873,5,-7.408,0,0.0622,8.28e-05,0.771,0.681,0.752,126.032,45733,4
141,Aventura,Volví,2vmfvSoZBFAt9hhRoEByLi,92,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,230125,4
142,York,On The Beach (Mixed) - Kryder Remix,0HNtEZmbur1t0geqk4IvNP,41,0.603,0.946,1,-7.143,1,0.0465,0.00446,0.9,0.447,0.578,125.964,46520,4
